booktitle,booklink
Do it! 점프 투 파이썬,/Product/Goods/74419916
혼자 공부하는 파이썬,/Product/Goods/74269975
혼자 공부하는 머신러닝+딥러닝,/Product/Goods/96024871
이것이 취업을 위한 코딩 테스트다 with 파이썬 ,/Product/Goods/91433923
Do it! 파이썬 생활 프로그래밍,/Product/Goods/91437485
Do it! 점프 투 파이썬 + Do it! 파이썬 생활 프로그래밍,/Product/Goods/91446225
밑바닥부터 시작하는 딥러닝 ,/Product/Goods/34970929
Do it! 첫 파이썬,/Product/Goods/89904189
Do it! 점프 투 파이썬 + Do it! 첫 파이썬 ,/Product/Goods/91446188
파이썬 알고리즘 인터뷰,/Product/Goods/91084402
핸즈온 머신러닝,/Product/Goods/89959711
파이썬 머신러닝 완벽 가이드,/Product/Goods/87044746
Do it! 자료구조와 함께 배우는 알고리즘 입문 : 파이썬 편,/Product/Goods/91219874
Do it! 점프 투 파이썬 + Do it! 자료구조와 함께 배우는 알고리즘 입문 : 파이썬 편 + Do it! 파이썬 생활 프로그래밍,/Product/Goods/91446242
파이썬을 이용한 비트코인 자동매매,/Product/Goods/98135876
파이썬 증권 데이터 분석 ,/Product/Goods/90578506
모두의 인공지능 기초 수학,/Product/Goods/91358533
혼자 공부하는 첫 프로그래밍 with 파이썬 ,/Product/Goods/90617738
밑바닥부터 시작하는 딥러닝 2,/Product/Goods/72173703
모두의 데이터 분석 with 파이썬,/Product/Goods/72227684
모두의 알고리즘 with 파이썬,/Product/Goods/40443936
프로그래머를 위한 수학 : 파이썬으로 하는 3D 그래픽스, 시뮬레이션, 머신러닝,/Product/Goods/106045879
웹 크롤링 & 데이터 분석 with 파이썬,/Product/Goods/106175772
한권으로 파이썬과 드론 날로 먹기 인공지능 편,/Product/Goods/106157392
